"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 15:25:53 EDT 2024","Wed Jun 12 15:25:57 EDT 2024","3909","chromium","tests\usePageObjects.spec.ts","","","","Parametrized Methods @smoke",""
"passed","Wed Jun 12 15:25:45 EDT 2024","Wed Jun 12 15:25:53 EDT 2024","7895","chromium","tests\usePageObjects.spec.ts","","","","Navigate to Form Page @smoke @regression",""
